Identified Proteins (934),Accession Number,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,C_D2,Gpool_D2,C_D21,Gpool_D21,C_D42,Gpool_D42,Ves_C_D42,Ves_G_D42
Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3,P20930,435 kDa,TRUE,unknown,0,0,0,0,2,0,0,2
Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2,P01011,48 kDa,,unknown,0,0,0,0,0,0,5,16
Fumarate hydratase mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3,P07954,55 kDa,,unknown,0,0,0,0,0,0,5,0
26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens GN=PSMD14 PE=1 SV=1,O00487,35 kDa,,unknown,0,2,5,10,0,0,0,0
Ig heavy chain V-II region NEWM OS=Homo sapiens PE=1 SV=1,P01825,13 kDa,TRUE,unknown,0,0,0,0,0,0,3,1
Surfeit locus protein 4 OS=Homo sapiens GN=SURF4 PE=1 SV=3,O15260,30 kDa,,unknown,0,0,4,4,5,4,0,0
O-acetyl-ADP-ribose deacetylase 1 OS=Homo sapiens GN=OARD1 PE=1 SV=2,Q9Y530,17 kDa,,unknown,4,3,0,0,3,3,0,0
Nicastrin OS=Homo sapiens GN=NCSTN PE=1 SV=2,Q92542,78 kDa,,unknown,6,4,2,3,4,4,0,0
Cathepsin E OS=Homo sapiens GN=CTSE PE=1 SV=2,P14091,43 kDa,,unknown,4,3,0,3,3,3,0,0
Ig alpha-2 chain C region OS=Homo sapiens GN=IGHA2 PE=1 SV=3,P01877,37 kDa,TRUE,unknown,0,0,0,0,0,0,0,127
Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3,Q9UQ80,44 kDa,,unknown,0,0,0,0,0,0,12,6
26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 PE=1 SV=3,Q16401,56 kDa,,unknown,0,2,9,14,0,0,0,0
Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1,P48637,52 kDa,,unknown,0,0,0,0,0,0,10,6
C-C chemokine receptor-like 2 OS=Homo sapiens GN=CCRL2 PE=1 SV=2,O00421,40 kDa,,unknown,0,2,0,0,0,2,0,0
Keratin type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2,Q04695,48 kDa,TRUE,unknown,0,43,0,0,0,0,0,32
Ig heavy chain V-III region TIL OS=Homo sapiens PE=1 SV=1,P01765,12 kDa,TRUE,unknown,0,0,0,0,0,0,0,4
Chitinase domain-containing protein 1 OS=Homo sapiens GN=CHID1 PE=1 SV=1,Q9BWS9,45 kDa,,unknown,3,2,2,2,3,3,0,0
Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4,O00159,122 kDa,TRUE,unknown,0,0,4,0,3,2,9,2
Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1,Q08257,35 kDa,,unknown,0,4,2,6,2,2,0,0
Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens GN=AGFG1 PE=1 SV=2,P52594,58 kDa,,unknown,0,3,4,2,3,4,0,0
DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,P78527,469 kDa,,unknown,0,0,3,5,4,4,0,0
Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,Q16181,51 kDa,,unknown,2,4,3,4,0,3,0,0
Nicotinamide mononucleotide adenylyltransferase 3 OS=Homo sapiens GN=NMNAT3 PE=1 SV=2,Q96T66,28 kDa,,unknown,0,0,3,2,7,6,0,0
Kininogen-1 OS=Homo sapiens GN=KNG1 PE=1 SV=2,P01042,72 kDa,,unknown,0,0,0,0,0,0,0,8
Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3,P24666,18 kDa,,unknown,0,0,0,0,0,0,13,12
Ig heavy chain V-I region HG3 OS=Homo sapiens PE=4 SV=1,P01743,13 kDa,,unknown,0,0,0,0,0,0,0,3
Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1,P60842,46 kDa,,unknown,0,0,0,0,0,0,10,5
Protein TANC1 OS=Homo sapiens GN=TANC1 PE=1 SV=3,Q9C0D5,202 kDa,,unknown,0,0,0,0,0,0,0,1
Guanine nucleotide-binding protein subunit alpha-11 OS=Homo sapiens GN=GNA11 PE=1 SV=2,P29992,42 kDa,TRUE,unknown,11,20,9,17,10,18,0,0
STE20-related kinase adapter protein beta OS=Homo sapiens GN=STRADB PE=1 SV=1,Q9C0K7,47 kDa,,unknown,0,2,1,0,1,1,0,0
Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2,O75787,39 kDa,,unknown,0,0,0,0,1,0,0,0
14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1,P63104,28 kDa,TRUE,unknown,0,0,0,13,0,0,19,9
UBX domain-containing protein 6 OS=Homo sapiens GN=UBXN6 PE=1 SV=1,Q9BZV1,50 kDa,,unknown,0,0,0,0,0,0,5,11
S-formylglutathione hydrolase OS=Homo sapiens GN=ESD PE=1 SV=2,P10768,31 kDa,,unknown,0,0,0,0,0,0,11,9
Vacuolar ATPase assembly integral membrane protein VMA21 OS=Homo sapiens GN=VMA21 PE=1 SV=1,Q3ZAQ7,11 kDa,,unknown,1,2,2,2,2,0,0,0
Abhydrolase domain-containing protein 16A OS=Homo sapiens GN=ABHD16A PE=1 SV=3,O95870,63 kDa,,unknown,0,3,1,0,0,0,0,0
Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1,O75223,21 kDa,,unknown,0,0,0,0,0,0,4,2
Ribosome maturation protein SBDS OS=Homo sapiens GN=SBDS PE=1 SV=4,Q9Y3A5,29 kDa,,unknown,2,3,3,6,4,2,0,0
Protein transport protein Sec61 subunit gamma OS=Homo sapiens GN=SEC61G PE=1 SV=1,P60059,8 kDa,,unknown,6,3,5,3,0,2,0,0
Keratin type II cuticular Hb4 OS=Homo sapiens GN=KRT84 PE=2 SV=2,Q9NSB2,65 kDa,TRUE,unknown,0,5,0,14,0,8,0,0
UV excision repair protein RAD23 homolog A OS=Homo sapiens GN=RAD23A PE=1 SV=1,P54725,40 kDa,TRUE,unknown,0,0,0,0,0,0,4,5
Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=2,P05155,55 kDa,,unknown,0,0,0,0,0,0,2,19
Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2,P19823,106 kDa,,unknown,0,0,0,0,0,0,2,17
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4,P30153,65 kDa,,unknown,0,0,0,0,0,0,11,0
E2/E3 hybrid ubiquitin-protein ligase UBE2O OS=Homo sapiens GN=UBE2O PE=1 SV=3,Q9C0C9,141 kDa,,unknown,0,0,0,5,0,0,5,0
Multidrug resistance-associated protein 1 OS=Homo sapiens GN=ABCC1 PE=1 SV=3,P33527,172 kDa,,unknown,5,1,0,1,3,0,0,0
Catechol O-methyltransferase OS=Homo sapiens GN=COMT PE=1 SV=2,P21964,30 kDa,,unknown,5,5,3,1,0,5,0,0
Transmembrane protein 33 OS=Homo sapiens GN=TMEM33 PE=1 SV=2,P57088,28 kDa,,unknown,3,0,0,0,0,0,0,0
Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2,P09493,33 kDa,TRUE,unknown,20,22,18,25,20,0,0,0
Calpastatin OS=Homo sapiens GN=CAST PE=1 SV=4,P20810,77 kDa,,unknown,0,0,0,0,0,0,3,7
Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,P62805,11 kDa,TRUE,unknown,0,0,0,0,0,0,14,0
Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=1 SV=1,O00743,35 kDa,TRUE,unknown,0,0,2,5,0,0,0,0
Ketosamine-3-kinase OS=Homo sapiens GN=FN3KRP PE=1 SV=2,Q9HA64,34 kDa,TRUE,unknown,0,0,0,0,0,0,2,5
Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1,P68036,18 kDa,,unknown,0,0,0,0,0,0,7,9
Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,P01008,53 kDa,,unknown,0,0,0,0,0,0,2,16
Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,Q09666,629 kDa,,unknown,0,0,0,1,0,0,0,0
Keratin type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=2 SV=3,Q7Z794,62 kDa,TRUE,unknown,0,0,0,0,22,0,12,10
Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens GN=GNB4 PE=1 SV=3,Q9HAV0,38 kDa,TRUE,unknown,29,0,0,0,0,24,0,0
26S protease regulatory subunit 6B OS=Homo sapiens GN=PSMC4 PE=1 SV=2,P43686,47 kDa,,unknown,0,2,2,11,0,0,0,0
Histone H2B type 1-N OS=Homo sapiens GN=HIST1H2BN PE=1 SV=3,Q99877,14 kDa,,unknown,0,0,0,0,0,0,18,0
Ig kappa chain V-I region HK102 (Fragment) OS=Homo sapiens GN=IGKV1-5 PE=4 SV=1,P01602,13 kDa,TRUE,unknown,3,0,2,0,0,0,0,0
Zinc transporter 1 OS=Homo sapiens GN=SLC30A1 PE=1 SV=3,Q9Y6M5,55 kDa,,unknown,0,3,0,0,0,5,0,0
Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2,P14314,59 kDa,,unknown,4,0,0,3,0,1,0,0
Synaptogyrin-1 OS=Homo sapiens GN=SYNGR1 PE=1 SV=2,O43759,25 kDa,,unknown,0,3,3,7,0,3,0,0
Peflin OS=Homo sapiens GN=PEF1 PE=1 SV=1,Q9UBV8,30 kDa,,unknown,0,0,4,4,0,0,0,0
Cyclin-Y OS=Homo sapiens GN=CCNY PE=1 SV=2,Q8ND76,39 kDa,,unknown,0,0,3,2,0,5,0,0
15 kDa selenoprotein OS=Homo sapiens GN=SEP15 PE=1 SV=3,O60613,18 kDa,,unknown,4,5,3,3,0,4,0,0
Secretory carrier-associated membrane protein 4 OS=Homo sapiens GN=SCAMP4 PE=2 SV=1,Q969E2,26 kDa,,unknown,3,4,3,4,4,0,0,0
Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens GN=PRPSAP2 PE=1 SV=1,O60256,41 kDa,,unknown,0,0,7,6,0,2,0,0
E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens GN=RBX1 PE=1 SV=1,P62877,12 kDa,,unknown,0,0,4,2,2,2,0,0
Thioredoxin-related transmembrane protein 4 OS=Homo sapiens GN=TMX4 PE=1 SV=1,Q9H1E5,39 kDa,,unknown,0,4,0,5,0,2,0,0
Transmembrane emp24 domain-containing protein 1 OS=Homo sapiens GN=TMED1 PE=1 SV=1,Q13445,25 kDa,,unknown,0,3,0,4,0,4,0,0
14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2,P61981,28 kDa,TRUE,unknown,0,7,8,13,6,7,0,5
Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1 PE=1 SV=1,P15531,17 kDa,TRUE,unknown,0,0,0,0,0,0,15,16
Keratin type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=2 SV=2,Q8N1N4,57 kDa,TRUE,unknown,0,0,0,0,7,0,6,0
CDC42 small effector protein 1 OS=Homo sapiens GN=CDC42SE1 PE=1 SV=1,Q9NRR8,9 kDa,,unknown,0,2,2,1,1,0,0,0
Gamma-aminobutyric acid receptor-associated protein OS=Homo sapiens GN=GABARAP PE=1 SV=1,O95166,14 kDa,TRUE,unknown,13,0,0,9,0,0,0,0
Porphobilinogen deaminase OS=Homo sapiens GN=HMBS PE=1 SV=2,P08397,39 kDa,,unknown,0,0,0,0,0,0,9,6
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2,Q99536,42 kDa,,unknown,0,0,0,0,0,0,8,4
E3 ubiquitin-protein ligase RNF123 OS=Homo sapiens GN=RNF123 PE=1 SV=1,Q5XPI4,149 kDa,,unknown,0,0,0,0,0,0,7,0
Keratin type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5,P04259,60 kDa,TRUE,unknown,0,0,0,0,0,0,0,59
Casein kinase I isoform gamma-3 OS=Homo sapiens GN=CSNK1G3 PE=1 SV=2,Q9Y6M4,51 kDa,TRUE,unknown,2,2,2,2,0,0,0,0
Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,P35580,229 kDa,TRUE,unknown,0,6,5,10,0,8,0,0
60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,P30050,18 kDa,,unknown,0,3,1,0,2,3,0,0
Interferon-stimulated gene 20 kDa protein OS=Homo sapiens GN=ISG20 PE=1 SV=2,Q96AZ6,20 kDa,,unknown,0,0,3,0,3,7,0,0
Q9Y5I0-DECOY,Q9Y5I0-DECOY,?,,unknown,1,0,0,0,0,0,0,0
Keratin type II cuticular Hb2 OS=Homo sapiens GN=KRT82 PE=1 SV=3,Q9NSB4,57 kDa,TRUE,unknown,0,10,0,0,0,0,19,0
Dynactin subunit 3 OS=Homo sapiens GN=DCTN3 PE=1 SV=1,O75935,21 kDa,,unknown,0,2,9,3,0,0,0,0
Endoplasmic reticulum aminopeptidase 1 OS=Homo sapiens GN=ERAP1 PE=1 SV=3,Q9NZ08,107 kDa,,unknown,0,1,0,2,0,1,0,0
Keratin type I cuticular Ha3-I OS=Homo sapiens GN=KRT33A PE=2 SV=2,O76009,46 kDa,TRUE,unknown,0,23,0,0,0,11,11,0
Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens GN=PPP2R4 PE=1 SV=3,Q15257,41 kDa,,unknown,0,0,0,0,0,0,9,5
Cyclin-dependent kinase 2 OS=Homo sapiens GN=CDK2 PE=1 SV=2,P24941,34 kDa,,unknown,0,0,0,0,7,7,0,0
14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1,P31947,28 kDa,TRUE,unknown,0,0,0,0,0,0,13,0
Adenine phosphoribosyltransferase OS=Homo sapiens GN=APRT PE=1 SV=2,P07741,20 kDa,,unknown,0,0,0,0,0,0,6,7
ATP-binding cassette sub-family A member 7 OS=Homo sapiens GN=ABCA7 PE=1 SV=3,Q8IZY2,234 kDa,,unknown,0,2,0,0,0,0,0,0
Ras-related protein Rab-6B OS=Homo sapiens GN=RAB6B PE=1 SV=1,Q9NRW1,23 kDa,TRUE,unknown,0,0,0,0,0,0,0,15
Large neutral amino acids transporter small subunit 4 OS=Homo sapiens GN=SLC43A2 PE=1 SV=1,Q8N370,63 kDa,,unknown,0,0,0,0,0,3,0,0
Transmembrane protein 109 OS=Homo sapiens GN=TMEM109 PE=1 SV=1,Q9BVC6,26 kDa,,unknown,0,0,0,0,0,2,0,0
Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2,P00492,25 kDa,,unknown,0,0,0,0,0,0,2,6
Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1,P61019,24 kDa,TRUE,unknown,0,0,0,7,10,13,0,0
Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1,Q9BSJ8,123 kDa,,unknown,0,1,0,0,0,0,0,0
26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,O43242,61 kDa,,unknown,0,2,3,10,0,0,0,0
Complement C4-A OS=Homo sapiens GN=C4A PE=1 SV=2,P0C0L4,193 kDa,TRUE,unknown,0,0,0,0,0,0,0,187
Ras-related protein Rap-2c OS=Homo sapiens GN=RAP2C PE=1 SV=1,Q9Y3L5,21 kDa,TRUE,unknown,42,39,31,34,0,33,0,0
Derlin-1 OS=Homo sapiens GN=DERL1 PE=1 SV=1,Q9BUN8,29 kDa,,unknown,4,2,2,0,0,0,0,0
Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1,Q13162,31 kDa,TRUE,unknown,0,2,11,14,0,3,0,0
Q8TBJ5-DECOY,Q8TBJ5-DECOY,?,,unknown,0,0,0,0,0,0,0,4
Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens GN=ITIH1 PE=1 SV=3,P19827,101 kDa,,unknown,0,0,0,0,0,0,1,14
Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1,P07225,75 kDa,,unknown,0,0,0,0,0,0,0,10
Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2,P07996,129 kDa,,unknown,0,0,0,0,0,0,0,12
ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4,P12236,33 kDa,TRUE,unknown,0,0,0,0,0,2,0,0
F-box only protein 7 OS=Homo sapiens GN=FBXO7 PE=1 SV=1,Q9Y3I1,59 kDa,,unknown,0,0,0,3,0,0,3,7
Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,P62158,17 kDa,,unknown,5,0,0,0,3,0,0,0
Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens GN=HSD17B11 PE=1 SV=3,Q8NBQ5,33 kDa,,unknown,2,2,3,3,4,0,0,0
Glycerophosphodiester phosphodiesterase 1 OS=Homo sapiens GN=GDE1 PE=1 SV=1,Q9NZC3,38 kDa,,unknown,3,3,0,5,2,0,0,0
Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens GN=USP9X PE=1 SV=3,Q93008,292 kDa,,unknown,0,0,0,4,0,0,2,0
Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2,Q9HDC9,46 kDa,,unknown,2,4,0,3,4,2,0,0
Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4,P29144,138 kDa,,unknown,0,0,0,0,0,0,5,3
Transmembrane and coiled-coil domains protein 2 OS=Homo sapiens GN=TMCC2 PE=1 SV=3,O75069,77 kDa,,unknown,0,2,0,0,4,0,0,0
Synaptogyrin-2 OS=Homo sapiens GN=SYNGR2 PE=1 SV=1,O43760,25 kDa,,unknown,0,3,2,0,2,3,0,0
DnaJ homolog subfamily C member 5 OS=Homo sapiens GN=DNAJC5 PE=1 SV=1,Q9H3Z4,22 kDa,,unknown,0,2,0,0,0,0,0,0
26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3,O00233,25 kDa,,unknown,0,0,0,0,1,0,1,6
Transmembrane and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=TMCO1 PE=1 SV=1,Q9UM00,21 kDa,,unknown,0,3,0,0,0,0,0,0
14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3,P31946,28 kDa,TRUE,unknown,0,0,0,0,0,0,11,10
Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=1 SV=2,P30566,55 kDa,,unknown,0,0,0,0,0,0,7,4
CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens GN=CDIPT PE=1 SV=1,O14735,24 kDa,,unknown,0,2,2,0,6,5,0,0
Properdin OS=Homo sapiens GN=CFP PE=1 SV=2,P27918,51 kDa,,unknown,3,2,0,0,1,0,0,0
60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2,P18077,13 kDa,,unknown,4,4,0,0,0,4,0,0
Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens GN=VPS28 PE=1 SV=1,Q9UK41,25 kDa,,unknown,0,0,3,0,5,5,0,0
SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens GN=SRGAP2 PE=1 SV=2,O75044,121 kDa,,unknown,0,0,0,0,0,0,5,3
Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3,O43396,32 kDa,,unknown,0,4,4,7,0,0,0,0
NSFL1 cofactor p47 OS=Homo sapiens GN=NSFL1C PE=1 SV=2,Q9UNZ2,41 kDa,,unknown,0,0,0,0,0,0,5,4
Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens GN=CC2D1A PE=1 SV=1,Q6P1N0,104 kDa,,unknown,0,2,0,0,2,5,0,0
GMP reductase 1 OS=Homo sapiens GN=GMPR PE=1 SV=1,P36959,37 kDa,,unknown,0,0,0,0,0,0,3,3
Zinc finger protein 285 OS=Homo sapiens GN=ZNF285 PE=2 SV=2,Q96NJ3,68 kDa,,unknown,0,0,2,1,0,0,0,0
PITH domain-containing protein 1 OS=Homo sapiens GN=PITHD1 PE=1 SV=1,Q9GZP4,24 kDa,,unknown,0,0,0,0,0,0,0,5
Keratin type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=1 SV=1,O76013,52 kDa,TRUE,unknown,0,0,0,0,0,0,9,0
Diacylglycerol kinase alpha OS=Homo sapiens GN=DGKA PE=1 SV=3,P23743,83 kDa,,unknown,0,1,0,3,0,2,0,0
Uroporphyrinogen decarboxylase OS=Homo sapiens GN=UROD PE=1 SV=2,P06132,41 kDa,,unknown,0,0,0,0,0,0,2,4
Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1,Q08380,65 kDa,,unknown,0,0,0,0,0,0,0,12
Coagulation factor XIII A chain OS=Homo sapiens GN=F13A1 PE=1 SV=4,P00488,83 kDa,TRUE,unknown,0,0,0,0,0,0,0,5
Receptor expression-enhancing protein 6 OS=Homo sapiens GN=REEP6 PE=1 SV=1,Q96HR9,21 kDa,,unknown,0,0,1,0,0,0,0,0
Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2,Q9NZT1,16 kDa,,unknown,0,0,0,0,0,0,1,0
26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1,P55036,41 kDa,,unknown,0,0,0,4,0,0,0,0
Coiled-coil domain-containing protein 124 OS=Homo sapiens GN=CCDC124 PE=1 SV=1,Q96CT7,26 kDa,TRUE,unknown,0,0,0,0,1,0,0,0
Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1,Q96AG4,35 kDa,,unknown,2,2,3,3,0,2,0,0
Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2,P60660,17 kDa,,unknown,3,0,5,0,0,0,0,0
Deoxyribonuclease-1-like 1 OS=Homo sapiens GN=DNASE1L1 PE=1 SV=1,P49184,34 kDa,,unknown,0,2,0,0,2,2,0,0
Transmembrane emp24 domain-containing protein 5 OS=Homo sapiens GN=TMED5 PE=1 SV=1,Q9Y3A6,26 kDa,,unknown,3,1,3,0,2,3,0,0
COP9 signalosome complex subunit 3 OS=Homo sapiens GN=COPS3 PE=1 SV=3,Q9UNS2,48 kDa,,unknown,0,0,5,4,0,0,2,0
COP9 signalosome complex subunit 4 OS=Homo sapiens GN=COPS4 PE=1 SV=1,Q9BT78,46 kDa,,unknown,0,0,0,8,0,0,1,0
Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,P13639,95 kDa,,unknown,0,0,0,0,0,0,2,6
Leucine zipper protein 1 OS=Homo sapiens GN=LUZP1 PE=1 SV=2,Q86V48,120 kDa,,unknown,0,1,0,0,0,0,0,0
3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,P25325,33 kDa,,unknown,0,1,0,0,0,0,2,2
Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=1 SV=2,Q9NY33,83 kDa,,unknown,0,0,0,0,0,0,9,0
Myeloid-associated differentiation marker OS=Homo sapiens GN=MYADM PE=1 SV=2,Q96S97,35 kDa,,unknown,2,0,0,0,0,0,0,0
Translation machinery-associated protein 7 OS=Homo sapiens GN=TMA7 PE=1 SV=1,Q9Y2S6,7 kDa,,unknown,2,0,0,0,0,0,0,0
Presenilin-1 OS=Homo sapiens GN=PSEN1 PE=1 SV=1,P49768,53 kDa,,unknown,3,3,0,0,0,0,0,0
Mitochondrial 10-formyltetrahydrofolate dehydrogenase OS=Homo sapiens GN=ALDH1L2 PE=1 SV=2,Q3SY69,102 kDa,TRUE,unknown,0,0,0,0,0,0,0,2
Protein ELYS OS=Homo sapiens GN=AHCTF1 PE=1 SV=3,Q8WYP5,253 kDa,,unknown,0,0,0,2,2,1,0,0
Keratin type I cuticular Ha3-II OS=Homo sapiens GN=KRT33B PE=2 SV=3,Q14525,46 kDa,TRUE,unknown,0,19,0,0,0,0,0,0
Putative annexin A2-like protein OS=Homo sapiens GN=ANXA2P2 PE=5 SV=2,A6NMY6 (+1),39 kDa,TRUE,unknown,0,0,0,0,3,0,1,1
Merlin OS=Homo sapiens GN=NF2 PE=1 SV=1,P35240,70 kDa,,unknown,0,0,0,0,1,0,1,0
Gamma-secretase subunit PEN-2 OS=Homo sapiens GN=PSENEN PE=1 SV=1,Q9NZ42,12 kDa,TRUE,unknown,1,2,2,0,0,0,0,0
Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4,Q13561,44 kDa,,unknown,0,0,2,5,0,0,0,0
Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1,P68363 (+1),50 kDa,TRUE,unknown,0,0,0,0,0,0,6,0
COP9 signalosome complex subunit 8 OS=Homo sapiens GN=COPS8 PE=1 SV=1,Q99627,23 kDa,,unknown,0,0,3,2,0,0,0,0
Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Homo sapiens GN=LHPP PE=1 SV=2,Q9H008,29 kDa,,unknown,0,0,0,0,0,0,2,0
Histone H3.1 OS=Homo sapiens GN=HIST1H3A PE=1 SV=2,P68431 (+3),15 kDa,,unknown,0,0,0,0,0,0,7,0
Neutrophil defensin 1 OS=Homo sapiens GN=DEFA1 PE=1 SV=1,P59665 (+1),10 kDa,,unknown,0,0,0,0,0,0,3,2
E3 ubiquitin-protein ligase CHIP OS=Homo sapiens GN=STUB1 PE=1 SV=2,Q9UNE7,35 kDa,,unknown,2,2,0,3,0,0,0,0
3-beta-hydroxysteroid-Delta(8)Delta(7)-isomerase OS=Homo sapiens GN=EBP PE=1 SV=3,Q15125,26 kDa,,unknown,0,0,0,2,0,0,0,0
Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,P10599,12 kDa,,unknown,0,0,0,0,0,0,3,1
Histidine triad nucleotide-binding protein 3 OS=Homo sapiens GN=HINT3 PE=1 SV=1,Q9NQE9,20 kDa,,unknown,0,1,0,0,0,0,0,0
Ig kappa chain V-III region B6 OS=Homo sapiens PE=1 SV=1,P01619,12 kDa,TRUE,unknown,4,0,0,0,0,0,0,0
Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,P55209,45 kDa,TRUE,unknown,0,3,3,0,0,0,0,0
N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2,Q6IQ20,46 kDa,TRUE,unknown,0,2,2,0,0,0,0,0
Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1,Q13867,53 kDa,,unknown,0,0,0,0,4,0,4,0
E3 ubiquitin-protein ligase UBR3 OS=Homo sapiens GN=UBR3 PE=2 SV=2,Q6ZT12,212 kDa,,unknown,0,1,0,0,0,0,0,0
Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1,P02760,39 kDa,,unknown,0,0,0,0,0,0,0,4
